Detection ID,Path,Start Line Num,End Line Num,Code
1,./TargetProjects/activemq-activeio/activeio-core/src/test/java/org/apache/activeio/journal/JournalPerfToolSupport.java,26,,import org.apache.activeio.journal.InvalidRecordLocationException;
2,./TargetProjects/activemq-activeio/activeio-core/src/test/java/org/apache/activeio/journal/JournalPerfToolSupport.java,27,,import org.apache.activeio.journal.Journal;
3,./TargetProjects/activemq-activeio/activeio-core/src/test/java/org/apache/activeio/journal/JournalPerfToolSupport.java,28,,import org.apache.activeio.journal.JournalEventListener;
4,./TargetProjects/activemq-activeio/activeio-core/src/test/java/org/apache/activeio/journal/JournalPerfToolSupport.java,29,,import org.apache.activeio.journal.RecordLocation;
5,./TargetProjects/activemq-activeio/activeio-core/src/test/java/org/apache/activeio/journal/JournalRWPerfToolSupport.java,27,,import org.apache.activeio.journal.InvalidRecordLocationException;
6,./TargetProjects/activemq-activeio/activeio-core/src/test/java/org/apache/activeio/journal/JournalRWPerfToolSupport.java,28,,import org.apache.activeio.journal.Journal;
7,./TargetProjects/activemq-activeio/activeio-core/src/test/java/org/apache/activeio/journal/JournalRWPerfToolSupport.java,29,,import org.apache.activeio.journal.JournalEventListener;
8,./TargetProjects/activemq-activeio/activeio-core/src/test/java/org/apache/activeio/journal/JournalRWPerfToolSupport.java,30,,import org.apache.activeio.journal.RecordLocation;
9,./TargetProjects/activemq-activeio/activeio-core/src/test/java/org/apache/activeio/journal/active/DataStruturesTest.java,24,,import org.apache.activeio.journal.active.Location;
10,./TargetProjects/activemq-activeio/activeio-core/src/test/java/org/apache/activeio/journal/active/JournalImplTest.java,28,,import org.apache.activeio.journal.active.JournalImpl;
11,./TargetProjects/activemq-activeio/activeio-core/src/test/java/org/apache/activeio/journal/active/JournalImplTest.java,29,,import org.apache.activeio.journal.active.Location;
12,./TargetProjects/activemq-activeio/activeio-core/src/test/java/org/apache/activeio/journal/active/JournalPerfTool.java,25,,import org.apache.activeio.journal.active.JournalImpl;
13,./TargetProjects/activemq-activeio/activeio-core/src/test/java/org/apache/activeio/journal/active/LogFileManagerTest.java,27,,import org.apache.activeio.journal.active.BatchedWrite;
14,./TargetProjects/activemq-activeio/activeio-core/src/test/java/org/apache/activeio/journal/active/LogFileManagerTest.java,28,,import org.apache.activeio.journal.active.Location;
15,./TargetProjects/activemq-activeio/activeio-core/src/test/java/org/apache/activeio/journal/active/LogFileManagerTest.java,29,,import org.apache.activeio.journal.active.LogFileManager;
16,./TargetProjects/activemq-activeio/activeio-core/src/test/java/org/apache/activeio/journal/active/LogFileManagerTest.java,30,,import org.apache.activeio.journal.active.Record;
17,./TargetProjects/activemq-activeio/activeio-core/src/test/java/org/apache/activeio/journal/howl/JournalPerfTool.java,24,,import org.apache.activeio.journal.howl.HowlJournal;
18,./TargetProjects/activemq-activeio/activeio-core/src/test/java/org/apache/activeio/packet/AppendedPacketTest.java,20,,import org.apache.activeio.packet.AppendedPacket;
19,./TargetProjects/activemq-activeio/activeio-core/src/test/java/org/apache/activeio/packet/AppendedPacketTest.java,21,,import org.apache.activeio.packet.ByteArrayPacket;
20,./TargetProjects/activemq-activeio/activeio-core/src/test/java/org/apache/activeio/packet/AppendedPacketTest.java,22,,import org.apache.activeio.packet.Packet;
21,./TargetProjects/activemq-activeio/activeio-core/src/test/java/org/apache/activeio/packet/ByteArrayPacketTest.java,20,,import org.apache.activeio.packet.ByteArrayPacket;
22,./TargetProjects/activemq-activeio/activeio-core/src/test/java/org/apache/activeio/packet/ByteArrayPacketTest.java,21,,import org.apache.activeio.packet.Packet;
23,./TargetProjects/activemq-activeio/activeio-core/src/test/java/org/apache/activeio/packet/ByteBufferPacketTest.java,22,,import org.apache.activeio.packet.ByteBufferPacket;
24,./TargetProjects/activemq-activeio/activeio-core/src/test/java/org/apache/activeio/packet/ByteBufferPacketTest.java,23,,import org.apache.activeio.packet.Packet;
25,./TargetProjects/activemq-activeio/activeio-core/src/test/java/org/apache/activeio/packet/PacketTestSupport.java,22,,import org.apache.activeio.packet.Packet;
26,./TargetProjects/activemq-activeio/activeio-core/src/test/java/org/apache/activeio/xnet/hba/ServiceAccessControllerTest.java,24,,import org.apache.activeio.xnet.hba.IPAddressPermission;
27,./TargetProjects/activemq-activeio/activeio-core/src/test/java/org/apache/activeio/xnet/hba/ServiceAccessControllerTest.java,25,,import org.apache.activeio.xnet.hba.IPAddressPermissionFactory;
28,./TargetProjects/activemq-activeio/activeio-core/src/test/java/org/apache/activeio/xnet/hba/ServiceAccessControllerTest.java,26,,import org.apache.activeio.xnet.hba.ServiceAccessController;
29,./TargetProjects/aries/application/application-itests/src/test/java/org/apache/aries/isolated/sample/HelloWorldImpl.java,21,,import org.apache.aries.isolated.sample.HelloWorld;
30,./TargetProjects/aries/application/application-modeller-common-test/src/test/java/org/apache/aries/application/modelling/ModellerTest.java,32,,import org.apache.aries.application.modelling.ExportedPackage;
31,./TargetProjects/aries/application/application-modeller-common-test/src/test/java/org/apache/aries/application/modelling/ModellerTest.java,33,,import org.apache.aries.application.modelling.ImportedPackage;
32,./TargetProjects/aries/application/application-modeller-common-test/src/test/java/org/apache/aries/application/modelling/ModellerTest.java,34,,import org.apache.aries.application.modelling.ImportedService;
33,./TargetProjects/aries/application/application-modeller-common-test/src/test/java/org/apache/aries/application/modelling/ModellerTest.java,35,,import org.apache.aries.application.modelling.ModelledResource;
34,./TargetProjects/aries/application/application-modeller-common-test/src/test/java/org/apache/aries/application/modelling/ModellerTest.java,36,,import org.apache.aries.application.modelling.ModelledResourceManager;
35,./TargetProjects/aries/application/application-runtime-framework-management/src/test/java/org/apache/aries/application/runtime/framework/management/BundleFrameworkManagerTest.java,10,,import org.apache.aries.application.runtime.framework.management.BundleFrameworkManagerImpl;
36,./TargetProjects/aries/application/application-utils/src/test/java/org/apache/aries/application/impl/ApplicationMetadataImplTest.java,34,,import org.apache.aries.application.impl.ApplicationMetadataFactoryImpl;
37,./TargetProjects/aries/blueprint/plugin/blueprint-maven-plugin/src/main/java/org/apache/aries/blueprint/plugin/handlers/javax/CdiTransactionFactory.java,23,,import org.apache.aries.blueprint.plugin.handlers.javax.AbstractTransactionFactory;
38,./TargetProjects/aries/jndi/jndi-url/src/test/java/org/apache/aries/jndi/services/ServiceHelperTest.java,23,,import org.apache.aries.jndi.services.ServiceHelper;
39,./TargetProjects/aries/transaction/transaction-manager/src/test/java/org/apache/aries/transaction/internal/XidFactoryImplTest.java,23,,import org.apache.aries.transaction.internal.XidFactoryImpl;
40,./TargetProjects/aries/web/web-urlhandler/src/test/java/org/apache/aries/web/converter/impl/JSPImportParserTest.java,27,,import org.apache.aries.web.converter.impl.JSPImportParser;
41,./TargetProjects/attic-onami/configuration/src/test/java/org/apache/onami/configuration/variables/VariableResolvingTestCase.java,28,,import org.apache.onami.configuration.variables.AntStyleParser;
42,./TargetProjects/attic-onami/configuration/src/test/java/org/apache/onami/configuration/variables/VariableResolvingTestCase.java,29,,import org.apache.onami.configuration.variables.VariablesMap;
43,./TargetProjects/attic-onami/scheduler/src/test/java/org/apache/onami/scheduler/TimedTask.java,24,,import org.apache.onami.scheduler.Scheduled;
44,./TargetProjects/attic-onami/test/src/test/java/org/apache/onami/test/AbstractTestCase.java,24,,import org.apache.onami.test.OnamiRunner;
45,./TargetProjects/attic-onami/test/src/test/java/org/apache/onami/test/InjectDependingMockObjectTestCase.java,25,,import org.apache.onami.test.OnamiRunner;
46,./TargetProjects/attic-onami/test/src/test/java/org/apache/onami/test/InjectJSR330ModuleClassTestCase.java,25,,import org.apache.onami.test.OnamiRunner;
47,./TargetProjects/attic-onami/test/src/test/java/org/apache/onami/test/InjectMockObjectTestCase.java,22,,import org.apache.onami.test.OnamiRunner;
48,./TargetProjects/attic-onami/test/src/test/java/org/apache/onami/test/InjectModuleClassTestCase.java,22,,import org.apache.onami.test.OnamiRunner;
49,./TargetProjects/attic-onami/test/src/test/java/org/apache/onami/test/InjectStaticSimpleTestCase.java,22,,import org.apache.onami.test.OnamiRunner;
50,./TargetProjects/attic-onami/test/src/test/java/org/apache/onami/test/MockTypeTestCase.java,22,,import org.apache.onami.test.OnamiRunner;
51,./TargetProjects/attic-onami/test/src/test/java/org/apache/onami/test/ServiceMockProviderTest.java,22,,import org.apache.onami.test.OnamiRunner;
52,./TargetProjects/attic-onami/test/src/test/java/org/apache/onami/test/SimpleTest.java,22,,import org.apache.onami.test.OnamiRunner;
53,./TargetProjects/attic-onami/validation/src/test/java/org/apache/onami/validation/DummyCountryDao.java,27,,import org.apache.onami.validation.Validate;
54,./TargetProjects/brooklyn-server/api/src/main/java/org/apache/brooklyn/api/relations/RelationshipType.java,21,,import org.apache.brooklyn.api.relations.RelationshipType;
55,./TargetProjects/brooklyn-server/camp/camp-base/src/test/java/org/apache/brooklyn/camp/spi/pdp/PdpYamlTest.java,27,,import org.apache.brooklyn.camp.spi.pdp.Artifact;
56,./TargetProjects/brooklyn-server/camp/camp-base/src/test/java/org/apache/brooklyn/camp/spi/pdp/PdpYamlTest.java,28,,import org.apache.brooklyn.camp.spi.pdp.DeploymentPlan;
57,./TargetProjects/brooklyn-server/camp/camp-base/src/test/java/org/apache/brooklyn/camp/spi/pdp/PdpYamlTest.java,29,,import org.apache.brooklyn.camp.spi.pdp.Service;
58,./TargetProjects/brooklyn-server/camp/camp-brooklyn/src/test/java/org/apache/brooklyn/camp/brooklyn/CreatePasswordSensorTest.java,23,,import org.apache.brooklyn.camp.brooklyn.AbstractYamlTest;
59,./TargetProjects/brooklyn-server/camp/camp-server/src/test/java/org/apache/brooklyn/camp/server/dto/ApplicationCompomentTemplateDtoTest.java,22,,import org.apache.brooklyn.camp.server.dto.ApplicationComponentTemplateDto;
60,./TargetProjects/brooklyn-server/camp/camp-server/src/test/java/org/apache/brooklyn/camp/server/dto/BasicDtoTest.java,23,,import org.apache.brooklyn.camp.server.dto.DtoCustomAttributes;
61,./TargetProjects/brooklyn-server/camp/camp-server/src/test/java/org/apache/brooklyn/camp/server/dto/LinkDtoTest.java,23,,import org.apache.brooklyn.camp.server.dto.LinkDto;
62,./TargetProjects/brooklyn-server/camp/camp-server/src/test/java/org/apache/brooklyn/camp/server/dto/PlatformCompomentTemplateDtoTest.java,22,,import org.apache.brooklyn.camp.server.dto.PlatformComponentTemplateDto;
63,./TargetProjects/brooklyn-server/camp/camp-server/src/test/java/org/apache/brooklyn/camp/server/dto/ResourceDtoTest.java,26,,import org.apache.brooklyn.camp.server.dto.ResourceDto;
64,./TargetProjects/brooklyn-server/camp/camp-server/src/test/java/org/apache/brooklyn/camp/server/rest/resource/PlatformRestResourceTest.java,23,,import org.apache.brooklyn.camp.server.rest.resource.PlatformRestResource;
65,./TargetProjects/brooklyn-server/camp/camp-server/src/test/java/org/apache/brooklyn/camp/server/rest/resource/PlatformRestResourceTest.java,24,,import org.apache.brooklyn.camp.server.rest.resource.PlatformRestResourceTest;
66,./TargetProjects/brooklyn-server/core/src/main/java/org/apache/brooklyn/core/config/ConfigUtils.java,33,,import org.apache.brooklyn.core.config.ConfigUtils;
67,./TargetProjects/brooklyn-server/core/src/main/java/org/apache/brooklyn/core/config/ConfigUtils.java,34,,import org.apache.brooklyn.core.config.WrappedConfigKey;
68,./TargetProjects/brooklyn-server/core/src/main/java/org/apache/brooklyn/core/config/render/RendererHints.java,26,,import org.apache.brooklyn.core.config.render.RendererHints;
69,./TargetProjects/brooklyn-server/core/src/main/java/org/apache/brooklyn/core/internal/storage/impl/InmemoryDatagrid.java,26,,import org.apache.brooklyn.core.internal.storage.impl.ConcurrentMapAcceptingNullVals;
70,./TargetProjects/brooklyn-server/core/src/main/java/org/apache/brooklyn/core/server/BrooklynServerPaths.java,29,,import org.apache.brooklyn.core.server.BrooklynServerConfig;
71,./TargetProjects/brooklyn-server/core/src/main/java/org/apache/brooklyn/util/core/internal/ssh/cli/SshCliTool.java,35,,import org.apache.brooklyn.util.core.internal.ssh.cli.SshCliTool;
72,./TargetProjects/brooklyn-server/core/src/main/java/org/apache/brooklyn/util/core/internal/ssh/process/ProcessTool.java,37,,import org.apache.brooklyn.util.core.internal.ssh.process.ProcessTool;
73,./TargetProjects/brooklyn-server/core/src/test/java/org/apache/brooklyn/core/BrooklynFeatureEnablementTest.java,25,,import org.apache.brooklyn.core.BrooklynFeatureEnablement;
74,./TargetProjects/brooklyn-server/core/src/test/java/org/apache/brooklyn/core/catalog/internal/CatalogVersioningTest.java,32,,import org.apache.brooklyn.core.catalog.internal.BasicBrooklynCatalog;
75,./TargetProjects/brooklyn-server/core/src/test/java/org/apache/brooklyn/core/catalog/internal/CatalogVersioningTest.java,33,,import org.apache.brooklyn.core.catalog.internal.CatalogItemBuilder;
76,./TargetProjects/brooklyn-server/core/src/test/java/org/apache/brooklyn/core/catalog/internal/CatalogVersioningTest.java,34,,import org.apache.brooklyn.core.catalog.internal.CatalogUtils;
77,./TargetProjects/brooklyn-server/core/src/test/java/org/apache/brooklyn/core/config/BrooklynPropertiesTest.java,26,,import org.apache.brooklyn.core.config.ConfigPredicates;
78,./TargetProjects/brooklyn-server/core/src/test/java/org/apache/brooklyn/core/config/ConfigUtilsTest.java,25,,import org.apache.brooklyn.core.config.ConfigUtils;
79,./TargetProjects/brooklyn-server/core/src/test/java/org/apache/brooklyn/core/effector/EffectorMetadataTest.java,33,,import org.apache.brooklyn.core.effector.BasicParameterType;
80,./TargetProjects/brooklyn-server/core/src/test/java/org/apache/brooklyn/core/effector/EffectorMetadataTest.java,34,,import org.apache.brooklyn.core.effector.Effectors;
81,./TargetProjects/brooklyn-server/core/src/test/java/org/apache/brooklyn/core/effector/EffectorMetadataTest.java,35,,import org.apache.brooklyn.core.effector.MethodEffector;
82,./TargetProjects/brooklyn-server/core/src/test/java/org/apache/brooklyn/core/effector/EffectorTaskTest.java,29,,import org.apache.brooklyn.core.effector.EffectorBody;
83,./TargetProjects/brooklyn-server/core/src/test/java/org/apache/brooklyn/core/effector/EffectorTaskTest.java,30,,import org.apache.brooklyn.core.effector.EffectorTasks;
84,./TargetProjects/brooklyn-server/core/src/test/java/org/apache/brooklyn/core/effector/EffectorTaskTest.java,31,,import org.apache.brooklyn.core.effector.EffectorWithBody;
85,./TargetProjects/brooklyn-server/core/src/test/java/org/apache/brooklyn/core/effector/EffectorTaskTest.java,32,,import org.apache.brooklyn.core.effector.Effectors;
86,./TargetProjects/brooklyn-server/core/src/test/java/org/apache/brooklyn/core/effector/ssh/SshEffectorTasksTest.java,29,,import org.apache.brooklyn.core.effector.ssh.SshEffectorTasks;
87,./TargetProjects/brooklyn-server/core/src/test/java/org/apache/brooklyn/core/effector/ssh/SshEffectorTasksTest.java,30,,import org.apache.brooklyn.core.effector.ssh.SshEffectorTasksTest;
88,./TargetProjects/brooklyn-server/core/src/test/java/org/apache/brooklyn/core/entity/AbstractEntityLegacyTest.java,29,,import org.apache.brooklyn.core.entity.AbstractEntity;
89,./TargetProjects/brooklyn-server/core/src/test/java/org/apache/brooklyn/core/entity/AbstractEntityLegacyTest.java,30,,import org.apache.brooklyn.core.entity.Entities;
90,./TargetProjects/brooklyn-server/core/src/test/java/org/apache/brooklyn/core/entity/DynamicEntityTest.java,28,,import org.apache.brooklyn.core.entity.EntityInternal;
91,./TargetProjects/brooklyn-server/core/src/test/java/org/apache/brooklyn/core/entity/EntityFunctionsTest.java,26,,import org.apache.brooklyn.core.entity.EntityFunctions;
92,./TargetProjects/brooklyn-server/core/src/test/java/org/apache/brooklyn/core/entity/EntityLocationsTest.java,28,,import org.apache.brooklyn.core.entity.AbstractEntity;
93,./TargetProjects/brooklyn-server/core/src/test/java/org/apache/brooklyn/core/entity/EntityPredicatesTest.java,26,,import org.apache.brooklyn.core.entity.Entities;
94,./TargetProjects/brooklyn-server/core/src/test/java/org/apache/brooklyn/core/entity/EntityPredicatesTest.java,27,,import org.apache.brooklyn.core.entity.EntityPredicates;
95,./TargetProjects/brooklyn-server/core/src/test/java/org/apache/brooklyn/core/entity/EntityRegistrationTest.java,30,,import org.apache.brooklyn.core.entity.AbstractEntity;
96,./TargetProjects/brooklyn-server/core/src/test/java/org/apache/brooklyn/core/entity/EntityRegistrationTest.java,31,,import org.apache.brooklyn.core.entity.Entities;
97,./TargetProjects/brooklyn-server/core/src/test/java/org/apache/brooklyn/core/entity/EntitySuppliersTest.java,27,,import org.apache.brooklyn.core.entity.EntitySuppliers;
98,./TargetProjects/brooklyn-server/core/src/test/java/org/apache/brooklyn/core/entity/drivers/downloads/DownloadSubstitutersTest.java,30,,import org.apache.brooklyn.core.entity.drivers.downloads.BasicDownloadRequirement;
99,./TargetProjects/brooklyn-server/core/src/test/java/org/apache/brooklyn/core/entity/drivers/downloads/DownloadSubstitutersTest.java,31,,import org.apache.brooklyn.core.entity.drivers.downloads.DownloadSubstituters;
100,./TargetProjects/brooklyn-server/core/src/test/java/org/apache/brooklyn/core/entity/drivers/downloads/FilenameProducersTest.java,23,,import org.apache.brooklyn.core.entity.drivers.downloads.FilenameProducers;
101,./TargetProjects/brooklyn-server/core/src/test/java/org/apache/brooklyn/core/entity/lifecycle/LifecycleTransitionTest.java,25,,import org.apache.brooklyn.core.entity.lifecycle.Lifecycle;
102,./TargetProjects/brooklyn-server/core/src/test/java/org/apache/brooklyn/core/entity/trait/StartableMethodsTest.java,27,,import org.apache.brooklyn.core.entity.trait.StartableMethods;
103,./TargetProjects/brooklyn-server/core/src/test/java/org/apache/brooklyn/core/feed/ConfigToAttributesTest.java,25,,import org.apache.brooklyn.core.feed.ConfigToAttributes;
104,./TargetProjects/brooklyn-server/core/src/test/java/org/apache/brooklyn/core/internal/storage/impl/BrooklynStorageImplTest.java,33,,import org.apache.brooklyn.core.internal.storage.impl.BrooklynStorageImpl;
105,./TargetProjects/brooklyn-server/core/src/test/java/org/apache/brooklyn/core/internal/storage/impl/ConcurrentMapAcceptingNullValsTest.java,29,,import org.apache.brooklyn.core.internal.storage.impl.ConcurrentMapAcceptingNullVals;
106,./TargetProjects/brooklyn-server/core/src/test/java/org/apache/brooklyn/core/location/AggregatingMachineProvisioningLocationTest.java,31,,import org.apache.brooklyn.core.location.AggregatingMachineProvisioningLocation;
107,./TargetProjects/brooklyn-server/core/src/test/java/org/apache/brooklyn/core/location/LegacyAbstractLocationTest.java,29,,import org.apache.brooklyn.core.location.AbstractLocation;
108,./TargetProjects/brooklyn-server/core/src/test/java/org/apache/brooklyn/core/location/LocationConfigUtilsTest.java,26,,import org.apache.brooklyn.core.location.LocationConfigKeys;
109,./TargetProjects/brooklyn-server/core/src/test/java/org/apache/brooklyn/core/location/LocationConfigUtilsTest.java,27,,import org.apache.brooklyn.core.location.LocationConfigUtils;
110,./TargetProjects/brooklyn-server/core/src/test/java/org/apache/brooklyn/core/location/LocationExtensionsTest.java,30,,import org.apache.brooklyn.core.location.AbstractLocation;
111,./TargetProjects/brooklyn-server/core/src/test/java/org/apache/brooklyn/core/location/LocationPredicatesTest.java,27,,import org.apache.brooklyn.core.location.LocationPredicates;
112,./TargetProjects/brooklyn-server/core/src/test/java/org/apache/brooklyn/core/location/LocationPredicatesTest.java,28,,import org.apache.brooklyn.core.location.Locations;
113,./TargetProjects/brooklyn-server/core/src/test/java/org/apache/brooklyn/core/location/LocationPropertiesFromBrooklynPropertiesTest.java,25,,import org.apache.brooklyn.core.location.LocationPropertiesFromBrooklynProperties;
114,./TargetProjects/brooklyn-server/core/src/test/java/org/apache/brooklyn/core/location/LocationSubscriptionTest.java,27,,import org.apache.brooklyn.core.location.SimulatedLocation;
115,./TargetProjects/brooklyn-server/core/src/test/java/org/apache/brooklyn/core/location/MachineDetailsIntegrationTest.java,32,,import org.apache.brooklyn.core.location.BasicMachineDetails;
116,./TargetProjects/brooklyn-server/core/src/test/java/org/apache/brooklyn/core/location/PortRangesTest.java,28,,import org.apache.brooklyn.core.location.PortRanges;
117,./TargetProjects/brooklyn-server/core/src/test/java/org/apache/brooklyn/core/location/TestPortSupplierLocation.java,25,,import org.apache.brooklyn.core.location.PortRanges;
118,./TargetProjects/brooklyn-server/core/src/test/java/org/apache/brooklyn/core/location/access/BrooklynAccessUtilsTest.java,32,,import org.apache.brooklyn.core.location.access.BrooklynAccessUtils;
119,./TargetProjects/brooklyn-server/core/src/test/java/org/apache/brooklyn/core/location/access/BrooklynAccessUtilsTest.java,33,,import org.apache.brooklyn.core.location.access.PortForwardManager;
120,./TargetProjects/brooklyn-server/core/src/test/java/org/apache/brooklyn/core/location/access/PortForwardManagerLocationResolverTest.java,23,,import org.apache.brooklyn.core.location.access.PortForwardManager;
121,./TargetProjects/brooklyn-server/core/src/test/java/org/apache/brooklyn/core/location/access/PortForwardManagerRebindTest.java,33,,import org.apache.brooklyn.core.location.access.PortForwardManager;
122,./TargetProjects/brooklyn-server/core/src/test/java/org/apache/brooklyn/core/location/geo/HostGeoInfoTest.java,26,,import org.apache.brooklyn.core.location.geo.HostGeoInfo;
123,./TargetProjects/brooklyn-server/core/src/test/java/org/apache/brooklyn/core/location/geo/HostGeoLookupIntegrationTest.java,27,,import org.apache.brooklyn.core.location.geo.GeoBytesHostGeoLookup;
124,./TargetProjects/brooklyn-server/core/src/test/java/org/apache/brooklyn/core/location/geo/HostGeoLookupIntegrationTest.java,28,,import org.apache.brooklyn.core.location.geo.HostGeoInfo;
125,./TargetProjects/brooklyn-server/core/src/test/java/org/apache/brooklyn/core/location/geo/HostGeoLookupIntegrationTest.java,29,,import org.apache.brooklyn.core.location.geo.MaxMind2HostGeoLookup;
126,./TargetProjects/brooklyn-server/core/src/test/java/org/apache/brooklyn/core/location/geo/HostGeoLookupIntegrationTest.java,30,,import org.apache.brooklyn.core.location.geo.UtraceHostGeoLookup;
127,./TargetProjects/brooklyn-server/core/src/test/java/org/apache/brooklyn/core/location/geo/LocalhostExternalIpLoaderIntegrationTest.java,26,,import org.apache.brooklyn.core.location.geo.LocalhostExternalIpLoader;
128,./TargetProjects/brooklyn-server/core/src/test/java/org/apache/brooklyn/core/mgmt/entitlement/AcmeEntitlementManager.java,24,,import org.apache.brooklyn.core.mgmt.entitlement.Entitlements;
129,./TargetProjects/brooklyn-server/core/src/test/java/org/apache/brooklyn/core/mgmt/entitlement/AcmeEntitlementManager.java,25,,import org.apache.brooklyn.core.mgmt.entitlement.PerUserEntitlementManager;
130,./TargetProjects/brooklyn-server/core/src/test/java/org/apache/brooklyn/core/mgmt/entitlement/AcmeEntitlementManagerTest.java,23,,import org.apache.brooklyn.core.mgmt.entitlement.Entitlements;
131,./TargetProjects/brooklyn-server/core/src/test/java/org/apache/brooklyn/core/mgmt/entitlement/AcmeEntitlementManagerTest.java,24,,import org.apache.brooklyn.core.mgmt.entitlement.WebEntitlementContext;
132,./TargetProjects/brooklyn-server/core/src/test/java/org/apache/brooklyn/core/mgmt/ha/HighAvailabilityManagerInMemoryTest.java,30,,import org.apache.brooklyn.core.mgmt.ha.HighAvailabilityManagerImpl;
133,./TargetProjects/brooklyn-server/core/src/test/java/org/apache/brooklyn/core/mgmt/ha/WarmStandbyTest.java,32,,import org.apache.brooklyn.core.mgmt.ha.HighAvailabilityManagerImpl;
134,./TargetProjects/brooklyn-server/core/src/test/java/org/apache/brooklyn/core/mgmt/ha/WarmStandbyTest.java,33,,import org.apache.brooklyn.core.mgmt.ha.ManagementPlaneSyncRecordPersisterToObjectStore;
135,./TargetProjects/brooklyn-server/core/src/test/java/org/apache/brooklyn/core/mgmt/internal/LocalManagementContextInstancesTest.java,25,,import org.apache.brooklyn.core.mgmt.internal.LocalManagementContext;
136,./TargetProjects/brooklyn-server/core/src/test/java/org/apache/brooklyn/core/mgmt/persist/BrooklynMementoPersisterFileBasedTest.java,24,,import org.apache.brooklyn.core.mgmt.persist.FileBasedObjectStore;
137,./TargetProjects/brooklyn-server/core/src/test/java/org/apache/brooklyn/core/mgmt/persist/InMemoryStoreObjectAccessorWriterTest.java,23,,import org.apache.brooklyn.core.mgmt.persist.StoreObjectAccessorLocking;
138,./TargetProjects/brooklyn-server/core/src/test/java/org/apache/brooklyn/core/mgmt/rebind/ActivePartialRebindTest.java,27,,import org.apache.brooklyn.core.mgmt.rebind.RebindManagerImpl;
139,./TargetProjects/brooklyn-server/core/src/test/java/org/apache/brooklyn/core/mgmt/rebind/RebindManagerSorterTest.java,35,,import org.apache.brooklyn.core.mgmt.rebind.RebindManagerImpl;
140,./TargetProjects/brooklyn-server/core/src/test/java/org/apache/brooklyn/core/mgmt/rebind/transformer/impl/XsltTransformerTest.java,23,,import org.apache.brooklyn.core.mgmt.rebind.transformer.impl.XsltTransformer;
141,./TargetProjects/brooklyn-server/core/src/test/java/org/apache/brooklyn/core/mgmt/rebind/transformer/impl/XsltTransformerTest.java,24,,import org.apache.brooklyn.core.mgmt.rebind.transformer.impl.XsltTransformerTest;
142,./TargetProjects/brooklyn-server/core/src/test/java/org/apache/brooklyn/core/network/OnPublicNetworkEnricherRebindTest.java,30,,import org.apache.brooklyn.core.network.OnPublicNetworkEnricher;
143,./TargetProjects/brooklyn-server/core/src/test/java/org/apache/brooklyn/core/objs/AbstractEntityAdjunctTest.java,24,,import org.apache.brooklyn.core.objs.AbstractEntityAdjunct;
144,./TargetProjects/brooklyn-server/core/src/test/java/org/apache/brooklyn/entity/group/GroupTest.java,33,,import org.apache.brooklyn.entity.group.BasicGroup;
145,./TargetProjects/brooklyn-server/core/src/test/java/org/apache/brooklyn/entity/group/MembershipTrackingPolicyTest.java,38,,import org.apache.brooklyn.entity.group.AbstractMembershipTrackingPolicy;
146,./TargetProjects/brooklyn-server/core/src/test/java/org/apache/brooklyn/entity/group/MembershipTrackingPolicyTest.java,39,,import org.apache.brooklyn.entity.group.BasicGroup;
147,./TargetProjects/brooklyn-server/core/src/test/java/org/apache/brooklyn/entity/group/QuarantineGroupTest.java,30,,import org.apache.brooklyn.entity.group.QuarantineGroup;
148,./TargetProjects/brooklyn-server/core/src/test/java/org/apache/brooklyn/entity/group/zoneaware/BalancingNodePlacementStrategyTest.java,30,,import org.apache.brooklyn.entity.group.zoneaware.BalancingNodePlacementStrategy;
149,./TargetProjects/brooklyn-server/core/src/test/java/org/apache/brooklyn/entity/group/zoneaware/ProportionalZoneFailureDetectorTest.java,32,,import org.apache.brooklyn.entity.group.zoneaware.ProportionalZoneFailureDetector;
150,./TargetProjects/brooklyn-server/core/src/test/java/org/apache/brooklyn/location/byon/SingleMachineLocationResolverTest.java,32,,import org.apache.brooklyn.location.byon.SingleMachineProvisioningLocation;
151,./TargetProjects/brooklyn-server/core/src/test/java/org/apache/brooklyn/location/byon/SingleMachineProvisioningLocationTest.java,25,,import org.apache.brooklyn.location.byon.SingleMachineProvisioningLocation;
152,./TargetProjects/brooklyn-server/core/src/test/java/org/apache/brooklyn/location/localhost/LocalhostLocationResolverTest.java,38,,import org.apache.brooklyn.location.localhost.LocalhostMachineProvisioningLocation;
153,./TargetProjects/brooklyn-server/core/src/test/java/org/apache/brooklyn/location/localhost/LocalhostProvisioningAndAccessTest.java,30,,import org.apache.brooklyn.location.localhost.LocalhostMachineProvisioningLocation;
154,./TargetProjects/brooklyn-server/core/src/test/java/org/apache/brooklyn/location/multi/MultiLocationTest.java,39,,import org.apache.brooklyn.location.multi.MultiLocation;
155,./TargetProjects/brooklyn-server/core/src/test/java/org/apache/brooklyn/location/paas/PaasLocationTest.java,21,,import org.apache.brooklyn.location.paas.PaasLocation;
156,./TargetProjects/brooklyn-server/core/src/test/java/org/apache/brooklyn/location/paas/TestPaasLocation.java,22,,import org.apache.brooklyn.location.paas.PaasLocation;
157,./TargetProjects/brooklyn-server/core/src/test/java/org/apache/brooklyn/location/ssh/SshMachineLocationPerformanceTest.java,28,,import org.apache.brooklyn.location.ssh.SshMachineLocation;
